year,month,EU,EN,UE,UN,NE,NU,EU_Layoff,EU_Quit,EU_Other,EN_Layoff,EN_Quit,EN_Other
1978,1,.016147567,.035311561,.28180879,.22780178,.047899336,.025596403,.0077415383,.0026320224,.0057740062,.0025947336,.015227837,.01748899
1978,2,.015584365,.035208713,.28874782,.23519984,.050705917,.025846459,.0076964111,.0022728215,.0056151319,.0027745583,.016177751,.016256403
1978,3,.013619195,.033000585,.25291753,.22670795,.048359599,.025294146,.0063425773,.0022908065,.0049858112,.003008778,.014326805,.015665002
1978,4,.013863731,.033824082,.30766067,.23609291,.051121835,.024735559,.0069013154,.0022696196,.0046927962,.0031670821,.015715575,.014941426
1978,5,.013286569,.033101007,.28010219,.24646787,.047062621,.024854323,.0065568881,.0022669449,.0044627362,.0024755939,.01467336,.015952054
1978,6,.01405242,.034097586,.29792148,.22173278,.056086957,.026580812,.0064200191,.0029514418,.004680959,.0022058669,.015975391,.015916327
1978,7,.015811834,.034873571,.27017865,.24040101,.047035031,.025448371,.007221221,.0029456548,.0056449585,.0016264103,.015971832,.01727533
1978,8,.014018465,.032743547,.2889199,.23628123,.048849061,.02440251,.0054158294,.0028700556,.0057325801,.0027038443,.013928922,.016110782
1978,9,.016014157,.038982868,.31366989,.23838437,.054075427,.025836634,.0069210334,.0032175302,.0058755931,.002943279,.019656956,.016382633
1978,10,.014791888,.034235433,.31796807,.22656147,.049814973,.025692888,.0068773357,.002860286,.0050542662,.0020629514,.01513959,.017032892
1978,11,.013742747,.035638936,.29847455,.23498532,.050151937,.026251908,.0064997561,.0024678395,.0047751511,.0020849388,.016677981,.016876016
1978,12,.01412175,.032069147,.24874634,.22755837,.046787098,.023996225,.0068882983,.0023948732,.0048385789,.0015191813,.013853857,.016696109
1979,1,.014462139,.035652209,.27821717,.23158945,.051545396,.022090523,.0068746363,.0026926463,.0048948568,.0026744418,.015980195,.016997572
1979,2,.014905915,.03409927,.28681344,.23150069,.049369313,.025929997,.0069015734,.0024947934,.0055095479,.0024061908,.016425401,.015267678
1979,3,.012981175,.033586621,.27836627,.22248609,.049200751,.024647014,.005752367,.0026219231,.0046068844,.0023111505,.014651568,.016623903
1979,4,.014680705,.034603804,.2749778,.24678989,.048263166,.023433827,.0061107567,.0026251527,.0059447959,.0021536369,.014685436,.017764732
1979,5,.013399594,.035043757,.31131369,.2337859,.048775725,.023166938,.0059753917,.0027810191,.0046431827,.0020159846,.015741084,.017286688
1979,6,.015559562,.034866199,.30964804,.23478574,.056838527,.025132624,.0066037676,.0032521542,.0057036406,.0034824542,.0143004,.017083345
1979,7,.015409455,.034603938,.31376335,.23638031,.050644916,.023299659,.0070572319,.0028100484,.0055421744,.0021694377,.01521093,.01722357
1979,8,.015345124,.036103733,.27035478,.22570376,.050298236,.025446337,.0077710524,.0026008263,.0049732449,.0030873846,.016013891,.017002458
1979,9,.014761675,.033664819,.31480482,.21341771,.052057229,.024767626,.0067351367,.0023161105,.0057104276,.0024078751,.013371502,.017885441
1979,10,.014978434,.033407215,.28931412,.21977101,.049017224,.0250753,.0072606532,.0026852009,.0050325799,.0018267985,.017347943,.014232473
1979,11,.016019074,.034293476,.28457335,.23818311,.050200969,.022599116,.0075970828,.0030400762,.0053819153,.0030149037,.014969508,.016309064
1979,12,.013396683,.032563902,.27776355,.2148678,.050428387,.02657239,.0066753523,.0024730677,.0042482633,.0017935956,.015306782,.015463524
1980,1,.015711896,.033662338,.25636175,.25644943,.0486071,.026438359,.0083772214,.0018585137,.0054761609,.0019878719,.016053844,.015620622
1980,2,.016404971,.033723902,.28499138,.2316591,.049796388,.02480364,.0081806155,.0028756638,.0053486922,.0025615345,.014488377,.016673991
1980,3,.015607367,.034127187,.26768151,.21966437,.048342478,.023845408,.0084667578,.0026719589,.0044686506,.0030040313,.015443958,.015679197
1980,4,.019550687,.032197185,.26012799,.20747438,.046069387,.02472318,.0096184751,.0026996268,.007232585,.0028642849,.013981962,.015350938
1980,5,.02074912,.033430755,.26460397,.20985019,.048521303,.028135579,.011391272,.0025766056,.0067812428,.0031969547,.016403686,.013830114
1980,6,.01850763,.032058593,.25415027,.19122747,.043658555,.026934875,.010423261,.0021164038,.0059679653,.0036461365,.014951477,.01346098
1980,7,.018803284,.030918054,.26335824,.18476787,.046130389,.027246742,.010285388,.002438487,.0060794088,.0014950264,.014729833,.014693195
1980,8,.019883165,.034836072,.27116823,.20710443,.049488332,.02774475,.010518415,.0027246051,.0066401451,.002744179,.015915412,.016176481
1980,9,.01749743,.033118729,.26444039,.20237264,.047598187,.025735129,.0092765838,.0021463467,.0060744993,.0033273795,.016385537,.013405813
1980,10,.017610742,.032554165,.26358795,.18704559,.047587492,.027703827,.0089963023,.0023906692,.0062237703,.0020011829,.014847155,.015705828
1980,11,.016657727,.031917155,.26070443,.19552539,.046976227,.027904337,.0084992638,.0024613438,.005697119,.0018430944,.014867477,.015206583
