year,month,EU,EN,UE,UN,NE,NU,EU_Layoff,EU_Quit,EU_Other,EN_Layoff,EN_Quit,EN_Other
1978,1,.0203612,.036238801,.213055,.24152321,.038458999,.0248018,.0135062,.0026288,.0042262999,.0111312,.0138114,.0112962
1978,2,.0155657,.0310227,.27822989,.2225516,.0439406,.0260833,.0104791,.0021784001,.0029082999,.0074753999,.0143267,.0092206998
1978,3,.0128846,.028201399,.2453454,.21420901,.044652201,.0244323,.0079423003,.002113,.0028293,.0060382001,.0107883,.0113749
1978,4,.0120558,.028678499,.31038731,.2381658,.045332499,.0220723,.0075007998,.0020087999,.0025462999,.0076249,.0122102,.0088433996
1978,5,.0118811,.029896099,.28751469,.24218971,.044797301,.025849,.0071835001,.0021096,.0025879999,.0053682998,.0120445,.0124832
1978,6,.0150453,.037075698,.33630741,.2079315,.078616403,.035708901,.0075844,.0031504,.0043104999,.0118178,.013941,.0113169
1978,7,.0166209,.0342278,.28571659,.2386542,.054823801,.0279055,.0090891998,.0031719999,.0043596998,.0089526996,.0130962,.012179
1978,8,.0140859,.0371884,.29879701,.2459472,.047892101,.023784099,.0072766999,.0032056,.0036035001,.0096151996,.0156496,.0119237
1978,9,.0163722,.058781601,.36545181,.2433389,.066643797,.0265394,.0077605001,.003705,.0049067,.0094887996,.040745299,.0085474998
1978,10,.0132133,.0310128,.32614759,.2257493,.0496502,.0244176,.0076056002,.0029732001,.0026346,.0070210001,.0154472,.0085445996
1978,11,.014063,.034156501,.2928935,.24260519,.046011999,.023754399,.0087917,.0024019999,.0028693001,.0085968999,.0146962,.0108633
1978,12,.0129148,.0260849,.2008356,.2353092,.036110401,.019261301,.0086069005,.0017781,.0025299001,.0073170001,.0100313,.0087366002
1979,1,.019130301,.037381198,.21862321,.2453389,.0429461,.021617001,.0130085,.0027327,.0033891001,.0099155996,.0152716,.0121941
1979,2,.014884,.0298816,.27626339,.21884111,.0425478,.0261552,.0100159,.0024037999,.0024643,.0064102998,.0145215,.0089498004
1979,3,.0121898,.027414501,.26995349,.2100312,.045996901,.023466799,.0073211002,.0024047999,.0024637999,.0066678999,.0110148,.0097318003
1979,4,.0128383,.0312248,.28218001,.24883071,.042650599,.0211695,.0080898004,.00239,.0023584,.0061654998,.0115896,.0134698
1979,5,.0120765,.032023501,.3182494,.2294341,.047158498,.023747901,.0064810999,.0026387,.0029565999,.0075500002,.0125383,.0119352
1979,6,.0164518,.037093502,.34357721,.22104239,.078183703,.0342802,.0082737003,.0034123,.0047658002,.0120176,.0124742,.0126017
1979,7,.0155926,.032984301,.32177001,.2345895,.057034999,.0254978,.0090421997,.0030203001,.0035302001,.0081677996,.0118843,.0129322
1979,8,.016172601,.0423715,.29821211,.23535889,.0519103,.025784601,.0098259002,.0030495001,.0032972,.0120165,.0190614,.0112936
1979,9,.0143454,.051957902,.3481046,.2183629,.0623064,.024777099,.0072494,.0026918999,.0044041001,.0087166,.032909099,.0103322
1979,10,.0140394,.0310505,.30623391,.2190057,.049603801,.024096901,.0085656,.0028404,.0026334,.0052892999,.0183558,.0074053998
1979,11,.016425399,.033144601,.28789961,.2457844,.047351401,.0204603,.0103676,.0030374001,.0030203999,.0082451999,.0135024,.0113971
1979,12,.012196,.0265803,.2248874,.222664,.0393329,.0215353,.0085198004,.0017787,.0018976,.0067265001,.0112329,.0086209001
1980,1,.0209246,.035398901,.1965384,.2702049,.0405141,.0255684,.0158702,.0019103,.0031442,.0079899998,.0146978,.012711
1980,2,.0172312,.029579399,.27530909,.2189824,.0442416,.024635799,.0117819,.0028033,.0026459999,.0070452001,.0131619,.0093722995
1980,3,.0138503,.0271395,.2423321,.20730481,.0428649,.022418899,.0093288003,.0023419999,.0021794999,.0061865998,.0113254,.0096274996
1980,4,.017189801,.0277158,.26392311,.20942891,.0394108,.022157099,.0121216,.0024796,.0025885999,.0057093999,.0107906,.0112158
1980,5,.0194731,.031818099,.28804469,.2054079,.050130501,.029366,.0130892,.0025108999,.0038729999,.0069364002,.0142543,.0106274
1980,6,.0187093,.033691701,.27433571,.177562,.062346201,.0357503,.0126533,.0021825,.0038735,.0113313,.0123057,.0100546
1980,7,.020100201,.030239999,.2799671,.18292721,.0539135,.029339001,.0140592,.0026990999,.0033419,.0078336997,.0114351,.0109712
1980,8,.019717,.039469,.28586501,.21676271,.0497557,.0278097,.0128971,.0030924,.0037275001,.0105785,.0185776,.0103129
1980,9,.0171335,.051307399,.30187741,.2073704,.057178602,.025846399,.0100551,.0025313001,.0045469999,.0072734002,.036191899,.0078421002
1980,10,.0174376,.032105502,.29746261,.186382,.051196501,.027227299,.0113338,.0026702001,.0034337,.0072293002,.0163204,.0085557997
1980,11,.0160415,.0286563,.2415593,.2030562,.0413666,.0251287,.0108525,.0023173001,.0028717001,.0077384999,.0122809,.0086369002
1980,12,.0155306,.028759999,.2180398,.219428,.036931101,.021033499,.0115857,.0015185,.0024264001,.0076139998,.0122815,.0088644996
1981,1,.0228788,.032608598,.18939009,.2090259,.039867599,.0287371,.0161009,.0026378001,.0041401,.0087874001,.0125114,.0113099
1981,2,.0167448,.0266481,.2186534,.1982414,.036401398,.0254556,.0117512,.0025446999,.0024488999,.0052161999,.0126016,.0088302996
1981,3,.0157911,.0236766,.2412252,.1917861,.041104499,.0267465,.0112118,.0019990001,.0025802001,.0051627001,.0094897998,.0090241004
1981,4,.0150251,.029578,.2899749,.1971762,.046987701,.023684001,.0104265,.0019801001,.0026183999,.0080096005,.0114526,.0101158
1981,5,.0155729,.027950199,.2496317,.2012817,.0461221,.027527601,.0100804,.0023713999,.0031210999,.0069908998,.0105802,.010379
